Engine type,Pollutant,Emission Standard,Vmin,Vmax,A,B,G,D,E,Z,H,R
2-stroke >50,CO,Conventional,10,100,1.357752091,-61.76775155,4534.466145,4022.792928,-0.010734823,3.792853472,143.9222022,0
2-stroke >50,CO,Euro 1,10,100,0.478177255,-21.77479257,1596.08445,1422.401834,-0.005700979,2.020031422,76.83083219,0
2-stroke >50,CO,Euro 2,10,100,0.376701499,-17.25583937,1260.355351,1140.244497,-0.005578815,1.991870679,77.053139,0
2-stroke >50,CO,Euro 3,10,100,0.110812453,-4.928032909,369.2477448,311.3961718,-0.003318159,1.121331091,40.07376407,0
2-stroke >50,CO,Euro 4,10,100,0.110812453,-4.928032909,369.2477448,311.3961718,-0.003318159,1.121331091,40.07376407,0
2-stroke >50,CO,Euro 5,10,100,0.110812453,-4.928032909,369.2477448,311.3961718,-0.003318159,1.121331091,40.07376407,0
2-stroke >50,NOx,Conventional,10,100,-0.000132968,0.02343413,-0.365682716,3.577552036,-0.004457757,0.608205055,-0.620763273,0
2-stroke >50,NOx,Euro 1,10,100,9.90E-06,-0.002053702,0.145968299,0.449799836,0.000382129,-0.078837329,4.792441549,0
2-stroke >50,NOx,Euro 2,10,100,-0.000137341,0.030404091,-0.295370548,6.601794209,-0.002525196,0.377275545,7.317050566,0
2-stroke >50,NOx,Euro 3,10,100,0.002128628,-0.066626532,1.086289553,-5.030625398,0.04168034,0.257720321,-1.616244087,0
2-stroke >50,NOx,Euro 4,10,100,0.002128628,-0.066626532,1.086289553,-5.030625398,0.04168034,0.257720321,-1.616244087,0
2-stroke >50,NOx,Euro 5,10,100,0.002128628,-0.066626532,1.086289553,-5.030625398,0.04168034,0.257720321,-1.616244087,0
2-stroke >50,HC,Conventional,10,130,0,0,150,0,0,0,1000,0
2-stroke >50,HC,Euro 1,10,130,0,0,150,0,0,0,1000,0.34
2-stroke >50,HC,Euro 2,10,130,0,0,150,0,0,0,1000,0.8
2-stroke >50,HC,Euro 3,10,130,0,0,150,0,0,0,1000,0.92
2-stroke >50,HC,Euro 4,10,130,0,0,150,0,0,0,1000,0.92
2-stroke >50,HC,Euro 5,10,130,0,0,150,0,0,0,1000,0.92
2-stroke >50,PM,Conventional,10,110,0,0,0.2,0,0,0,1,0
2-stroke >50,PM,Euro 1,10,110,0,0,0.08,0,0,0,1,0
2-stroke >50,PM,Euro 2,10,110,0,0,0.04,0,0,0,1,0
2-stroke >50,PM,Euro 3,10,110,0,0,0.012,0,0,0,1,0
2-stroke >50,PM,Euro 4,10,110,0,0,0.012,0,0,0,1,0
2-stroke >50,PM,Euro 5,10,110,0,0,0.012,0,0,0,1,0
2-stroke >50,FC,Conventional,10,100,0.001294706,-0.075604147,5.56556541,-7.85407427,-0.000285959,0.082894677,0.875633433,0
2-stroke >50,FC,Euro 1,10,100,0.001402056,-0.08190747,6.026350203,-8.489923424,-0.000335023,0.097180081,1.02880516,0
2-stroke >50,FC,Euro 2,10,100,0.001402056,-0.08190747,6.026350203,-8.489923424,-0.000335023,0.097180081,1.02880516,0
2-stroke >50,FC,Euro 3,10,100,0.001402056,-0.08190747,6.026350203,-8.489923424,-0.000335023,0.097180081,1.02880516,0
2-stroke >50,FC,Euro 4,10,100,0.001402056,-0.08190747,6.026350203,-8.489923424,-0.000335023,0.097180081,1.02880516,0
2-stroke >50,FC,Euro 5,10,100,0.001402056,-0.08190747,6.026350203,-8.489923424,-0.000335023,0.097180081,1.02880516,0
2-stroke >50,VOC,Conventional,10,100,0.001026123,-0.098835014,6.710105951,-14.37739096,-6.38E-05,0.012588958,0.079249931,0
2-stroke >50,VOC,Euro 1,10,100,0.001871834,-0.165524641,7.32998696,-6.183206115,-7.09E-05,0.024338956,0.50650582,0
2-stroke >50,VOC,Euro 2,10,100,0.000953235,-0.084447704,3.715237071,-2.998234529,-6.19E-05,0.022523362,0.493859388,0
2-stroke >50,VOC,Euro 3,10,100,0.000618911,-0.054736293,2.452487941,-2.192845151,-8.10E-05,0.025534701,0.499476799,0
